Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,8,4,17,0,2,0,8,2,9,2,0,1,0,0,2,1,25,0,3,13,7,10,22.31129095338042,1,12,11,1,1,19.195990779020818,13,1.9768797139169192,5.8744694406922235,68316.90858971221,Graduate
2,7,4,3,0,5,0,9,5,3,5,0,1,0,0,3,0,51,1,13,9,4,10,2.853723139499569,2,6,4,13,1,38.17994115514437,12,12.997835410360508,4.943697703978586,50481.15651396093,Dropout
3,4,6,10,0,4,0,9,5,10,2,0,0,0,1,2,1,54,1,6,6,2,12,34.086139900386506,12,1,9,13,12,12.5622233750732,2,12.61645708877315,9.6559492056301,74534.50146047183,Graduate
3,5,3,7,1,8,0,7,4,3,10,1,0,0,1,3,0,29,1,14,11,2,13,16.755954775518298,2,5,14,11,7,26.579150093055212,14,16.97703096899462,3.703519104030739,21360.2755312789,Dropout
3,1,5,10,1,6,0,2,9,3,4,0,0,0,0,2,0,28,1,8,13,5,5,17.31375607393993,8,5,12,4,1,33.39297338855836,4,3.3450017446904745,4.050224121104398,38901.48697179348,Dropout
1,8,3,13,0,9,0,7,3,6,8,1,0,1,0,1,0,35,0,3,13,13,1,27.787002763547154,7,7,8,9,12,12.843148006413895,5,3.0197228513622787,9.691637077422484,80450.53290383397,Dropout
1,4,8,13,1,4,1,3,5,5,10,1,1,1,0,1,1,30,1,14,12,12,1,3.2642994069606823,10,1,14,12,6,27.285926866238476,2,19.72858061071822,0.550717115908067,39808.72430301411,Dropout
1,6,3,14,1,2,1,3,5,2,4,1,0,1,0,1,0,36,1,12,7,1,11,22.295998839385,3,4,13,14,6,12.713576256947308,0,8.580364033884646,3.884313012715089,22922.890431218184,Dropout
2,2,6,6,1,3,0,4,3,11,11,1,0,1,0,3,0,47,1,7,0,8,2,28.67961087457768,3,9,3,14,13,25.563113431021122,12,17.923482052915876,5.114064866473889,17906.404189147237,Graduate
1,1,4,9,1,6,0,3,5,2,6,0,0,0,0,2,1,40,1,1,6,4,12,4.880446568282295,12,8,10,0,3,11.809662533556736,12,18.3242560393028,1.819172556317089,58576.635928449025,Dropout
1,5,4,6,0,5,1,1,5,1,8,0,1,1,0,1,1,33,1,2,13,5,4,29.959659753858872,9,7,3,8,0,20.555965166100542,0,13.498625349902461,9.054196766024232,95030.62790755596,Dropout
1,6,5,13,0,2,1,7,1,6,10,0,1,1,1,1,1,39,0,2,6,14,11,5.113881884517397,1,2,3,9,10,24.35388109819022,1,16.718859936288062,9.51252263085479,78304.79994943851,Graduate
2,2,8,1,0,3,1,6,5,10,6,0,0,1,1,1,0,18,1,11,4,4,3,4.944864578504462,5,8,13,4,3,19.58076905920747,12,13.4029268404782,8.172778748115544,88324.14993112459,Dropout
1,9,6,16,0,3,1,9,7,7,11,0,1,0,1,1,0,22,0,0,2,8,3,19.36832417344688,1,8,14,12,12,33.824625924833185,12,10.732227601218732,7.224685979196353,18308.41035791464,Dropout
3,1,2,15,1,7,0,7,1,1,2,0,1,1,0,2,1,50,0,11,13,13,11,2.1550746730318515,12,10,8,9,14,9.659121649558084,0,10.50022674945572,4.8508386730277415,94643.71016267838,Dropout
3,3,5,17,1,8,0,9,4,10,11,1,1,1,1,3,1,31,1,6,12,1,3,15.17661087629822,2,5,0,2,4,13.684430923431016,2,9.327978537294133,0.527905331147015,43153.16750557928,Dropout
2,9,4,6,1,9,0,8,7,10,9,1,1,1,1,2,0,45,1,8,13,6,3,39.15736647982922,14,0,2,4,10,27.431898837831092,2,19.62439576620595,9.340804728098705,75182.34342957032,Dropout
1,1,7,12,0,6,0,9,9,11,11,0,1,0,0,3,0,43,0,5,6,13,8,24.145538009800052,7,0,12,4,5,11.93514398471741,14,18.853030172774666,4.492594023429723,78471.29133033587,Dropout
2,5,8,17,1,4,0,1,3,6,8,1,1,1,0,2,1,31,1,12,3,8,3,25.63865496256755,0,6,1,7,5,18.37192077616678,3,9.506016788085896,3.5533793289239215,46626.44693478021,Dropout
1,8,7,9,1,5,1,2,3,5,11,1,1,1,0,3,0,44,1,13,13,2,11,21.706342319010126,8,10,7,4,6,14.248662407713812,6,1.5006694555867361,6.937320511281361,12963.610695436537,Dropout
3,3,6,15,1,3,0,4,5,2,2,0,0,1,0,2,1,50,0,0,4,6,12,23.147614602164808,13,8,4,9,6,7.724097815815414,9,14.12327519933223,9.23658517107018,19871.001334153087,Dropout
2,8,6,15,0,2,1,7,9,4,9,1,1,0,0,3,0,40,0,3,12,5,1,15.454991463130527,14,11,8,10,3,5.994318546744295,5,12.398516994885044,9.206625894717208,10957.809917842158,Dropout
2,8,5,1,1,5,1,6,6,6,7,0,0,1,0,2,1,50,0,11,4,11,0,15.391337486172795,10,2,12,11,12,19.51737016801478,14,13.172530816614128,6.376015119106414,52051.25957360796,Dropout
1,3,6,17,1,6,1,1,3,8,11,0,0,0,1,1,0,46,0,0,6,7,6,27.084483568001616,14,10,10,2,4,27.993335179953508,12,12.55083332401664,8.242734902031035,42304.53920522088,Dropout
1,6,6,3,0,4,0,5,9,11,6,1,0,1,0,3,1,32,0,7,5,9,1,28.791008992861947,13,11,1,7,2,20.043473115128485,13,1.7648373802516648,7.117059883255776,70607.54329372126,Dropout
2,1,2,13,0,2,1,5,5,1,6,0,0,0,1,2,1,22,1,1,0,14,3,11.734818347353304,6,2,7,3,13,39.81590198926655,8,18.125020880728684,2.5501823163835113,47274.87029822389,Dropout
2,9,9,4,1,4,1,7,3,10,6,0,0,1,0,2,0,23,0,12,2,4,7,27.269397731804972,6,14,13,9,2,33.68765195467156,12,18.452715461939103,4.944709212608178,97068.23070937677,Dropout
2,1,1,10,0,4,1,2,8,7,7,0,0,0,0,2,1,31,1,2,9,8,11,4.202644892880825,8,9,12,12,1,10.764198291987155,1,7.954218928218175,1.6146903242189525,52561.52461166581,Dropout
2,2,5,6,1,7,0,9,7,1,6,1,0,1,1,1,1,50,1,5,3,3,6,13.040206705983564,13,5,5,8,3,0.5956866111851156,7,12.688154073919511,1.608816191283834,72926.06153001694,Dropout
3,8,4,11,0,9,1,5,7,10,9,0,0,1,1,3,1,18,0,2,1,14,13,0.3835716397297473,1,4,13,8,11,36.197512081043975,10,16.58484448290672,1.806182774847186,82732.38224025465,Graduate
1,2,1,4,1,2,1,3,2,4,9,1,1,1,0,2,1,23,1,6,4,5,10,0.827085959186169,9,12,8,11,11,11.192170910047636,12,3.06168009399048,6.4897204563702715,86450.75360611758,Graduate
1,6,9,15,0,5,1,1,2,3,5,1,0,0,0,2,1,44,1,8,9,6,5,33.93669891034007,7,2,12,2,0,19.39750763846262,6,1.9371433316356201,9.313492367305813,26757.625113882044,Dropout
1,2,7,5,0,8,1,2,6,9,5,0,1,1,0,1,1,49,0,6,7,2,9,28.6928151731221,10,3,0,14,9,16.5099069769014,1,17.904284610460987,7.96606540542753,17650.518528351033,Dropout
2,2,8,12,1,6,1,7,3,2,11,0,0,0,1,2,1,20,0,10,6,3,13,39.478723761131434,9,3,1,9,1,22.300795593551594,13,13.438184988348533,9.22905524635619,52214.17265182152,Dropout
2,4,2,11,1,7,0,6,7,10,6,1,1,1,0,2,0,38,0,13,14,8,3,28.32860415900456,7,14,13,12,10,18.156166067701143,11,15.466944900515387,0.9534222681839144,64859.69245116135,Dropout
1,1,5,10,0,4,0,7,7,10,8,0,0,0,1,3,1,48,0,9,4,9,12,31.449979123544335,0,9,2,7,11,1.876130052450824,7,1.712720178792606,5.660570831696761,94683.1862595019,Graduate
